pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
4 0.0 1
5 0.0 1
6 0.0 1
7 0.0 1
8 0.0 1
9 0.0 1
10 0.0 1
1 0.5 0
6 0.5 1
4 0.6 1
7 0.6 1
8 0.6 1
9 0.6 1
10 0.6 1
2 0.7 0
3 0.7 0
5 0.7 1
1 1.0 0
6 1.0 1
7 1.1 1
4 1.2 1
8 1.2 0
9 1.2 1
10 1.2 1
11 1.2 1
12 1.2 1
13 1.2 1
14 1.2 1
15 1.2 1
16 1.2 1
17 1.2 1
18 1.2 1
5 1.3 1
2 1.4 0
1 1.5 0
3 1.5 0
6 1.6 1
19 1.6 1
20 1.6 1
7 1.7 1
8 1.7 0
11 1.7 1
18 1.7 1
4 1.8 1
9 1.8 1
10 1.8 1
13 1.8 1
14 1.8 1
15 1.8 1
16 1.8 1
12 1.9 1
5 2.0 1
21 2.0 1
22 2.0 0
23 2.0 1
24 2.0 1
25 2.0 1
26 2.0 1
27 2.0 1
28 2.0 1
1 2.1 0
2 2.1 0
6 2.1 1
17 2.1 1
20 2.1 1
3 2.2 0
7 2.2 1
11 2.2 1
8 2.3 0
18 2.3 1
4 2.4 1
9 2.4 1
10 2.4 1
13 2.4 1
14 2.4 1
15 2.4 1
16 2.4 1
19 2.4 1
29 2.4 1
12 2.5 1
21 2.5 1
1 2.6 0
6 2.6 1
20 2.6 1
22 2.6 0
23 2.6 1
24 2.6 1
25 2.6 1
26 2.6 1
27 2.6 1
28 2.6 1
5 2.7 1
11 2.7 1
2 2.8 0
7 2.8 1
18 2.8 1
30 2.8 1
3 2.9 0
8 2.9 0
13 2.9 1
4 3.0 1
9 3.0 1
10 3.0 1
14 3.0 1
15 3.0 1
16 3.0 1
17 3.0 1
29 3.0 1
1 3.1 0
6 3.1 1
19 3.1 1
20 3.1 1
21 3.1 1
28 3.1 1
11 3.2 1
12 3.2 0
23 3.2 1
24 3.2 1
25 3.2 1
26 3.2 1
27 3.2 1
31 3.2 0
32 3.2 1
33 3.2 1
34 3.2 0
35 3.2 0
36 3.2 1
37 3.2 1
38 3.2 1
