pedestrianId simTime groupId-PID5
1 0.0 1
1 0.8 1
1 1.5 1
2 2.0 1
1 2.3 1
2 2.5 1
1 3.0 1
2 3.0 1
3 3.0 1
2 3.5 1
3 3.5 1
1 3.8 1
3 4.0 1
4 4.0 1
2 4.1 1
3 4.5 1
1 4.6 1
2 4.6 1
4 4.6 1
3 5.0 1
5 5.0 1
2 5.1 1
4 5.2 1
1 5.3 1
3 5.5 1
2 5.6 1
4 5.7 1
5 5.7 1
3 6.0 1
6 6.0 1
1 6.1 1
2 6.1 1
4 6.3 1
5 6.4 1
3 6.5 1
2 6.6 1
6 6.6 1
1 6.9 1
4 6.9 1
3 7.0 1
7 7.0 1
2 7.1 1
5 7.2 1
6 7.2 1
3 7.5 1
4 7.5 1
7 7.5 1
1 7.6 1
2 7.7 1
6 7.8 1
5 7.9 1
3 8.0 1
4 8.0 1
7 8.0 1
8 8.0 1
2 8.2 1
1 8.4 1
6 8.4 1
7 8.4 1
3 8.5 1
4 8.6 1
5 8.6 1
2 8.7 1
8 8.7 1
7 8.9 1
3 9.0 1
6 9.0 1
9 9.0 1
1 9.1 1
2 9.2 1
4 9.2 1
5 9.3 1
7 9.4 1
8 9.4 1
3 9.5 1
6 9.6 1
9 9.6 1
2 9.7 1
4 9.8 1
1 9.9 1
7 9.9 1
3 10.0 1
10 10.0 1
5 10.1 1
8 10.1 1
9 10.1 1
2 10.2 1
6 10.3 1
4 10.4 1
7 10.4 1
3 10.5 1
10 10.5 1
1 10.7 1
2 10.7 1
9 10.7 1
5 10.8 1
4 10.9 1
6 10.9 1
7 10.9 1
8 10.9 1
3 11.0 1
10 11.0 1
9 11.2 1
2 11.3 1
1 11.4 1
7 11.4 1
10 11.4 1
3 11.5 1
4 11.5 1
5 11.5 1
6 11.5 1
8 11.6 1
2 11.8 1
7 11.8 1
9 11.8 1
10 11.9 1
3 12.0 1
4 12.1 1
6 12.1 1
1 12.2 1
5 12.2 1
2 12.3 1
7 12.3 1
8 12.3 1
9 12.3 1
10 12.4 1
3 12.5 1
4 12.7 1
6 12.7 1
2 12.8 1
7 12.8 1
3 12.9 1
5 12.9 1
9 12.9 1
10 12.9 1
1 13.0 1
8 13.0 1
2 13.3 1
4 13.3 1
6 13.3 1
7 13.3 1
3 13.4 1
10 13.4 1
9 13.5 1
1 13.7 1
5 13.7 1
8 13.7 1
2 13.8 1
4 13.8 1
7 13.8 1
10 13.8 1
3 13.9 1
6 13.9 1
9 14.0 1
2 14.3 1
7 14.3 1
10 14.3 1
3 14.4 1
4 14.4 1
5 14.4 1
8 14.4 1
1 14.5 1
6 14.5 1
9 14.6 1
7 14.8 1
10 14.8 1
2 14.9 1
3 14.9 1
4 15.0 1
5 15.1 1
6 15.1 1
9 15.1 1
1 15.2 1
7 15.2 1
8 15.2 1
10 15.3 1
2 15.4 1
3 15.4 1
4 15.6 1
6 15.7 1
7 15.7 1
9 15.7 1
5 15.8 1
10 15.8 1
2 15.9 1
3 15.9 1
8 15.9 1
1 16.0 1
11 16.0 0
12 16.0 1
4 16.2 1
7 16.2 1
10 16.2 1
6 16.3 1
9 16.3 1
2 16.4 1
3 16.4 1
5 16.6 1
8 16.6 1
11 16.6 0
4 16.7 1
7 16.7 1
10 16.7 1
12 16.7 1
1 16.8 1
9 16.8 1
2 16.9 1
3 16.9 1
6 16.9 1
13 17.0 1
14 17.0 1
7 17.2 1
10 17.2 1
4 17.3 1
5 17.3 1
8 17.3 1
11 17.3 0
2 17.4 1
3 17.4 1
9 17.4 1
12 17.4 1
1 17.5 1
14 17.5 1
6 17.6 1
7 17.7 1
10 17.7 1
13 17.7 1
2 17.9 1
3 17.9 1
4 17.9 1
9 17.9 1
5 18.0 1
8 18.0 1
11 18.0 0
14 18.0 1
15 18.0 1
16 18.0 1
7 18.1 1
12 18.1 1
6 18.2 1
10 18.2 1
1 18.3 1
3 18.4 1
13 18.4 1
2 18.5 1
4 18.5 1
9 18.5 1
14 18.5 1
7 18.6 1
11 18.6 0
15 18.6 1
16 18.6 1
5 18.7 1
10 18.7 1
6 18.8 1
8 18.8 1
12 18.8 1
3 18.9 1
2 19.0 1
4 19.0 1
17 19.0 1
18 19.0 1
1 19.1 1
7 19.1 1
9 19.1 1
10 19.1 1
14 19.1 1
15 19.1 1
13 19.2 1
11 19.3 2
16 19.3 1
3 19.4 1
5 19.4 1
6 19.4 1
2 19.5 1
8 19.5 1
12 19.5 1
18 19.5 1
4 19.6 1
7 19.6 1
9 19.6 1
10 19.6 1
14 19.6 1
17 19.6 1
15 19.7 1
1 19.8 1
3 19.9 1
11 19.9 2
13 19.9 1
16 19.9 1
2 20.0 1
6 20.0 1
18 20.0 1
19 20.0 1
20 20.0 1
7 20.1 1
10 20.1 1
14 20.1 1
4 20.2 1
5 20.2 1
8 20.2 1
9 20.2 1
12 20.2 1
17 20.2 1
15 20.3 1
3 20.4 1
2 20.5 1
16 20.5 1
18 20.5 1
1 20.6 1
6 20.6 1
7 20.6 1
10 20.6 1
11 20.6 2
13 20.6 1
14 20.6 1
19 20.6 1
20 20.6 1
9 20.7 1
17 20.7 1
4 20.8 1
15 20.8 1
3 20.9 1
5 20.9 1
8 20.9 1
12 20.9 1
2 21.0 1
18 21.0 1
21 21.0 1
22 21.0 0
7 21.1 1
10 21.1 1
6 21.2 1
14 21.2 1
16 21.2 1
20 21.2 1
1 21.3 1
9 21.3 1
11 21.3 2
17 21.3 1
19 21.3 1
3 21.4 1
4 21.4 1
13 21.4 1
15 21.4 1
2 21.5 1
7 21.5 1
10 21.5 1
18 21.5 1
22 21.5 0
5 21.6 1
8 21.6 1
12 21.6 1
21 21.6 1
14 21.7 1
6 21.8 1
9 21.8 1
16 21.8 1
20 21.8 1
3 21.9 1
4 21.9 1
11 21.9 2
17 21.9 1
19 21.9 1
7 22.0 1
10 22.0 1
15 22.0 1
18 22.0 1
22 22.0 0
23 22.0 1
24 22.0 1
1 22.1 1
2 22.1 1
13 22.1 1
21 22.1 1
14 22.2 1
5 22.3 1
8 22.3 1
12 22.3 1
3 22.4 1
6 22.4 1
9 22.4 1
16 22.4 1
20 22.4 1
4 22.5 1
7 22.5 1
10 22.5 1
17 22.5 1
18 22.5 1
22 22.5 0
23 22.5 1
2 22.6 1
11 22.6 2
15 22.6 1
19 22.6 1
14 22.7 1
21 22.7 1
24 22.7 1
13 22.8 1
1 22.9 1
3 22.9 1
6 23.0 1
7 23.0 1
9 23.0 1
10 23.0 1
12 23.0 1
20 23.0 1
22 23.0 0
23 23.0 1
25 23.0 1
26 23.0 1
2 23.1 1
4 23.1 1
5 23.1 1
8 23.1 1
15 23.1 1
16 23.1 1
17 23.1 1
18 23.1 1
11 23.2 2
14 23.2 1
19 23.2 1
21 23.3 1
24 23.3 1
3 23.4 1
7 23.5 1
9 23.5 1
10 23.5 1
22 23.5 0
23 23.5 1
26 23.5 1
1 23.6 1
2 23.6 1
6 23.6 1
13 23.6 1
18 23.6 1
20 23.6 1
25 23.6 1
4 23.7 1
12 23.7 1
15 23.7 1
16 23.7 1
17 23.7 1
5 23.8 1
8 23.8 1
14 23.8 1
3 23.9 1
11 23.9 2
19 23.9 1
21 23.9 1
7 24.0 1
10 24.0 1
22 24.0 0
23 24.0 1
24 24.0 1
27 24.0 1
28 24.0 1
2 24.1 1
9 24.1 1
18 24.1 1
26 24.1 1
20 24.2 1
25 24.2 1
4 24.3 1
6 24.3 1
13 24.3 1
14 24.3 1
15 24.3 1
17 24.3 1
1 24.4 1
3 24.4 1
10 24.4 1
12 24.4 1
16 24.4 1
5 24.5 1
7 24.5 1
8 24.5 1
11 24.5 2
19 24.5 1
21 24.5 1
22 24.5 0
23 24.5 1
27 24.5 1
2 24.6 1
9 24.6 1
18 24.6 1
26 24.6 1
28 24.6 1
24 24.7 1
4 24.8 1
14 24.8 1
20 24.8 1
3 24.9 1
6 24.9 1
7 24.9 1
10 24.9 1
15 24.9 1
17 24.9 1
25 24.9 1
13 25.0 1
16 25.0 1
21 25.0 1
22 25.0 0
23 25.0 1
27 25.0 1
29 25.0 1
30 25.0 1
2 25.1 1
12 25.1 1
18 25.1 1
1 25.2 1
