timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
10 41 53 0.39527692963980465 0.004723070360195369
11 50 60 0.39340949010970416 0.006590509890295859
12 54 63 0.39512259693270474 0.004877403067295283
13 27 34 0.3934579284061211 0.006542071593878929
13 38 44 0.39498371672398946 0.005016283276010558
15 34 37 0.3991828816340313 8.171183659687054E-4
17 10 93 0.39535765077214785 0.004642349227852172
19 7 64 0.39935962196710895 6.403780328910758E-4
19 34 37 0.3931233562961982 0.00687664370380181
19 38 94 0.39669275828903255 0.003307241710967468
21 11 44 0.3894622624069991 0.010537737593000918
21 56 79 0.39929410919964264 7.058908003573783E-4
23 38 79 0.3941298551057917 0.00587014489420834
23 64 82 0.3988792171908743 0.0011207828091256977
28 83 98 0.38929249133111676 0.010707508668883259
30 27 64 0.39173035637778497 0.00826964362221505
31 2 119 0.39833910066686185 0.0016608993331381772
31 27 64 0.39173035637778497 0.00826964362221505
31 56 81 0.39629748424193806 0.003702515758061964
34 85 92 0.3910916122245395 0.008908387775460547
35 56 107 0.39282542356168565 0.007174576438314373
36 35 114 0.39854083433537263 0.0014591656646273932
36 67 96 0.39524477598035507 0.004755224019644955
36 127 132 0.39436127041622693 0.005638729583773094
37 59 110 0.39237745177325617 0.007622548226743853
37 124 158 0.3977267868624631 0.0022732131375369224
38 142 145 0.3906325056721785 0.009367494327821524
38 157 159 0.3963159198541309 0.0036840801458691286
38 169 171 0.39999291197305925 7.088026940771375E-6
39 11 18 0.3957117962636032 0.004288203736396823
39 128 147 0.3995163348548218 4.836651451782248E-4
40 29 166 0.396006156834588 0.003993843165412014
40 149 182 0.3926835350728026 0.007316464927197397
40 150 193 0.3910497899200068 0.008950210079993248
40 156 166 0.3933433435761665 0.006656656423833507
41 62 86 0.3991290677481879 8.709322518121176E-4
41 127 169 0.3937808391491181 0.006219160850881922
41 186 227 0.3938378080440053 0.006162191955994711
42 51 157 0.39445191136645236 0.005548088633547665
42 62 86 0.3991290677481879 8.709322518121176E-4
42 71 119 0.3959360148852764 0.004063985114723612
42 147 173 0.39779481522626603 0.0022051847737339925
42 150 183 0.39510184187205927 0.004898158127940755
42 171 182 0.39641565478277907 0.0035843452172209522
43 61 145 0.3924582308654141 0.0075417691345859295
43 150 183 0.39510184187205927 0.004898158127940755
44 56 90 0.3998674372711382 1.3256272886180698E-4
44 211 230 0.3934125173797712 0.006587482620228846
45 111 195 0.3973470154169891 0.002652984583010942
45 134 194 0.3938356454889728 0.0061643545110272036
45 175 227 0.3995223976024713 4.7760239752869804E-4
45 244 252 0.39651312839522945 0.0034868716047705695
46 3 32 0.3979993848447331 0.0020006151552669493
46 130 132 0.3940784045006277 0.005921595499372323
46 152 200 0.3927421213344831 0.007257878665516915
46 165 218 0.3918942666604017 0.008105733339598298
46 237 241 0.39667016026087343 0.0033298397391265944
47 19 24 0.3954946283123724 0.004505371687627602
47 29 166 0.39983955259885456 1.604474011454582E-4
47 35 132 0.3950649023448159 0.004935097655184129
47 141 144 0.39966475710643373 3.352428935662899E-4
47 221 233 0.39642986278121145 0.0035701372187885716
48 18 78 0.3989799692903631 0.00102003070963691
48 29 166 0.39983955259885456 1.604474011454582E-4
48 32 78 0.39835830541449835 0.001641694585501674
48 112 173 0.39836615088030547 0.0016338491196945526
48 122 171 0.3921346310342337 0.00786536896576634
48 175 200 0.39788985214504496 0.002110147854955058
49 141 211 0.39596429717794773 0.0040357028220522895
49 149 205 0.39184509862758804 0.008154901372411982
49 155 217 0.39969703132034906 3.029686796509612E-4
49 156 176 0.38966639039179835 0.010333609608201677
49 185 235 0.39479028041053893 0.005209719589461093
50 49 108 0.39821891522586633 0.00178108477413369
50 66 163 0.39057741828798215 0.009422581712017875
50 149 205 0.39184509862758804 0.008154901372411982
50 185 235 0.3896129742316751 0.010387025768324898
50 236 253 0.39118339733304797 0.008816602666952056
50 244 279 0.3967526588059383 0.003247341194061726
50 252 276 0.39792316795711097 0.002076832042889054
50 255 264 0.3917743451119049 0.008225654888095124
51 50 71 0.3947675583978691 0.005232441602130933
51 149 205 0.39184509862758804 0.008154901372411982
51 188 226 0.39678877491517683 0.0032112250848231882
51 202 214 0.3975663739326892 0.0024336260673108456
51 219 230 0.3892297998809604 0.010770200119039619
52 24 142 0.39088712192774083 0.00911287807225919
52 32 42 0.3997002720157303 2.9972798426974867E-4
52 111 193 0.3988858165819677 0.0011141834180323218
52 141 211 0.39029544841044705 0.009704551589552968
52 149 205 0.39184509862758804 0.008154901372411982
52 185 256 0.39522834492258657 0.00477165507741345
53 66 191 0.390970699254034 0.009029300745966029
53 149 205 0.39184509862758804 0.008154901372411982
53 286 293 0.39700520471090095 0.0029947952890990726
54 134 150 0.3934185070651162 0.006581492934883804
54 185 228 0.3988516602223459 0.001148339777654106
54 187 219 0.3983615507842726 0.0016384492157274222
54 237 247 0.39573610030464984 0.004263899695350182
54 255 279 0.39906819490148765 9.318050985123727E-4
54 257 274 0.3984016583542432 0.00159834164575684
55 35 171 0.39043172935757264 0.009568270642427379
55 55 75 0.39078143961168 0.00921856038832003
55 66 233 0.38770436178794676 0.012295638212053261
55 134 150 0.3934185070651162 0.006581492934883804
55 154 222 0.3899512324294388 0.010048767570561223
55 156 260 0.3921528406341336 0.00784715936586644
55 167 290 0.390773246044619 0.009226753955381028
55 212 213 0.397863392808273 0.0021366071917270357
55 225 252 0.39701740259237733 0.002982597407622689
55 257 274 0.39916200297122134 8.379970287786809E-4
55 288 289 0.39868678626999404 0.0013132137300059799
56 18 163 0.3947860697171998 0.005213930282800205
56 132 196 0.3968546821505339 0.003145317849466145
56 152 200 0.3927451814617548 0.007254818538245222
56 154 222 0.3899512324294388 0.010048767570561223
56 156 260 0.3921528406341336 0.00784715936586644
56 175 279 0.3995949438270882 4.0505617291181073E-4
56 209 249 0.39493595244757435 0.005064047552425677
57 11 232 0.3966970595927639 0.00330294040723611
57 107 232 0.3979736395109036 0.002026360489096435
57 122 214 0.39664987187333695 0.0033501281266630767
57 152 200 0.3927451814617548 0.007254818538245222
57 155 231 0.39131046106016504 0.008689538939834984
57 156 260 0.3921528406341336 0.00784715936586644
57 225 252 0.3981840193313003 0.0018159806686997015
57 273 278 0.3965429506311653 0.0034570493688347304
58 3 113 0.39921057243594743 7.894275640525916E-4
58 78 233 0.3898820554215485 0.010117944578451499
58 187 238 0.3925019214246698 0.007498078575330247
59 18 190 0.39067283688264437 0.009327163117355652
59 78 212 0.3977559794625443 0.0022440205374557043
